series_id,definition,definition_evidence_uri,source_semantics,frequency,reference_period_convention,timing_basis,stock_flow,unit_code,scale_multiplier,currency,valuation,nominal_real,price_base_year,seasonal_adjustment,transformation,hierarchy_role,parent_series_id,methodology_regime_id,comparability,availability_convention,proposal_evidence,source_cell,proposed_by,proposed_at,confidence,open_questions
economic_annex:cuadro_9:fc9a02c5dcc0573b3c038553,IMAEP Serie Original -- as published on CUADRO 9: Indicador Mensual de la Actividad Económica del Paraguay (IMAEP). — Índice base 2014 = 100.,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 9!r10c3,"Worksheet CUADRO 9, column path 'IMAEP Serie Original'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,INDEX,1,not_applicable,not_applicable,real,2014,not_adjusted,index,total,,,break_documented,Observed in the retained vintage only: last period 2026-06-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'Indicador Mensual de la Actividad Económica del Paraguay (IMAEP). — Índice base 2014 = 100.'. Column label: 'IMAEP Serie Original'. Recorded index base: 'base 2014 = 100'. Coverage 1994-01-01 to 2026-06-01 (390 periods). Unit and scale as parsed: INDEX x 1.,economic_annex/CUADRO 9!r10c3 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,medium,CUADRO 9 and CUADRO 9 a publish IMAEP Serie Original on different spans (1994- and 2014-). Whether they are one continuous series or two requires the BCP's rebasing note; until that is settled they must not be spliced.
economic_annex:cuadro_15:1720dedc33bdbea3951d2913,"Inflación total — Variaciones (%) — Mensual -- as published on CUADRO 15: Cuadro Nº 15 — Índice de precios al consumidor - Área Metropolitana de Asunción. — Inflación total, inflación subyacente e inflación subyacente (X1). — Base Diciembre 2017 = 100. — Serie Empalmada",workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 15!r16c23,"Worksheet CUADRO 15, column path 'Inflación total — Variaciones (%) — Mensual'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,PERCENT,1,not_applicable,not_applicable,nominal,,not_adjusted,growth_rate,standalone,,,comparable,Observed in the retained vintage only: last period 2026-07-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,"Worksheet title: 'Cuadro Nº 15 — Índice de precios al consumidor - Área Metropolitana de Asunción. — Inflación total, inflación subyacente e inflación subyacente (X1). — Base Diciembre 2017 = 100. — Serie Empalmada'. Column label: 'Inflación total — Variaciones (%) — Mensual'. Recorded index base: 'Base Diciembre 2017 = 100'. Coverage 1993-01-01 to 2026-07-01 (403 periods). Unit and scale as parsed: PERCENT x 1.",economic_annex/CUADRO 15!r16c23 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_15:080dbf95a46f3bcb97aeb69d,"Inflación total — Variaciones (%) — Interanual -- as published on CUADRO 15: Cuadro Nº 15 — Índice de precios al consumidor - Área Metropolitana de Asunción. — Inflación total, inflación subyacente e inflación subyacente (X1). — Base Diciembre 2017 = 100. — Serie Empalmada",workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 15!r27c25,"Worksheet CUADRO 15, column path 'Inflación total — Variaciones (%) — Interanual'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,PERCENT,1,not_applicable,not_applicable,nominal,,not_adjusted,growth_rate,standalone,,,comparable,Observed in the retained vintage only: last period 2026-07-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,"Worksheet title: 'Cuadro Nº 15 — Índice de precios al consumidor - Área Metropolitana de Asunción. — Inflación total, inflación subyacente e inflación subyacente (X1). — Base Diciembre 2017 = 100. — Serie Empalmada'. Column label: 'Inflación total — Variaciones (%) — Interanual'. Recorded index base: 'Base Diciembre 2017 = 100'. Coverage 1993-12-01 to 2026-07-01 (392 periods). Unit and scale as parsed: PERCENT x 1.",economic_annex/CUADRO 15!r27c25 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_15:dfecdb75e556917955185f87,"Subyacente — Variaciones (%) — Mensual -- as published on CUADRO 15: Cuadro Nº 15 — Índice de precios al consumidor - Área Metropolitana de Asunción. — Inflación total, inflación subyacente e inflación subyacente (X1). — Base Diciembre 2017 = 100. — Serie Empalmada",workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 15!r16c19,"Worksheet CUADRO 15, column path 'Subyacente — Variaciones (%) — Mensual'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,PERCENT,1,not_applicable,not_applicable,nominal,,not_adjusted,growth_rate,standalone,,,comparable,Observed in the retained vintage only: last period 2026-07-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,"Worksheet title: 'Cuadro Nº 15 — Índice de precios al consumidor - Área Metropolitana de Asunción. — Inflación total, inflación subyacente e inflación subyacente (X1). — Base Diciembre 2017 = 100. — Serie Empalmada'. Column label: 'Subyacente — Variaciones (%) — Mensual'. Recorded index base: 'Base Diciembre 2017 = 100'. Coverage 1993-01-01 to 2026-07-01 (403 periods). Unit and scale as parsed: PERCENT x 1.",economic_annex/CUADRO 15!r16c19 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_15:e2716d5d388cb5491db427df,"Subyacente — Variaciones (%) — Interanual -- as published on CUADRO 15: Cuadro Nº 15 — Índice de precios al consumidor - Área Metropolitana de Asunción. — Inflación total, inflación subyacente e inflación subyacente (X1). — Base Diciembre 2017 = 100. — Serie Empalmada",workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 15!r27c21,"Worksheet CUADRO 15, column path 'Subyacente — Variaciones (%) — Interanual'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,PERCENT,1,not_applicable,not_applicable,nominal,,not_adjusted,growth_rate,standalone,,,comparable,Observed in the retained vintage only: last period 2026-07-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,"Worksheet title: 'Cuadro Nº 15 — Índice de precios al consumidor - Área Metropolitana de Asunción. — Inflación total, inflación subyacente e inflación subyacente (X1). — Base Diciembre 2017 = 100. — Serie Empalmada'. Column label: 'Subyacente — Variaciones (%) — Interanual'. Recorded index base: 'Base Diciembre 2017 = 100'. Coverage 1993-12-01 to 2026-07-01 (392 periods). Unit and scale as parsed: PERCENT x 1.",economic_annex/CUADRO 15!r27c21 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_21_a:c04de38db2f74ad022aad2a1,M0 -- as published on Cuadro 21 a: Cuadro Nº 21 a — Agregados Monetarios -Serie Histórica 1/ — En millones de guaranies,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#Cuadro 21 a!r35c3,"Worksheet Cuadro 21 a, column path 'M0'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,end_of_period,stock,PYG,1000000,PYG,not_applicable,nominal,,not_adjusted,level,component,,,break_documented,Observed in the retained vintage only: last period 2026-06-30 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'Cuadro Nº 21 a — Agregados Monetarios -Serie Histórica 1/ — En millones de guaranies'. Column label: 'M0'. Recorded index base: ''. Coverage 1962-01-01 to 2026-06-30 (774 periods). Unit and scale as parsed: PYG x 1e+06.,economic_annex/Cuadro 21 a!r35c3 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,medium,"This series changes day convention inside its own history (see outputs/temporal_convention_worklist.csv). The normalised bounds make it safe to join; whether the convention change is a layout change or a change of observation timing is unresolved, and if the latter it needs a methodology regime."
economic_annex:cuadro_21_a:944413c79a6e264272a7131e,M1 -- as published on Cuadro 21 a: Cuadro Nº 21 a — Agregados Monetarios -Serie Histórica 1/ — En millones de guaranies,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#Cuadro 21 a!r35c4,"Worksheet Cuadro 21 a, column path 'M1'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,end_of_period,stock,PYG,1000000,PYG,not_applicable,nominal,,not_adjusted,level,component,,,break_documented,Observed in the retained vintage only: last period 2026-06-30 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'Cuadro Nº 21 a — Agregados Monetarios -Serie Histórica 1/ — En millones de guaranies'. Column label: 'M1'. Recorded index base: ''. Coverage 1962-01-01 to 2026-06-30 (774 periods). Unit and scale as parsed: PYG x 1e+06.,economic_annex/Cuadro 21 a!r35c4 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,medium,This series changes day convention inside its own history (see outputs/temporal_convention_worklist.csv). Same question as M0.
economic_annex:cuadro_21_a:e3bb0bf377d93222be89f9a2,M2 -- as published on Cuadro 21 a: Cuadro Nº 21 a — Agregados Monetarios -Serie Histórica 1/ — En millones de guaranies,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#Cuadro 21 a!r35c5,"Worksheet Cuadro 21 a, column path 'M2'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,end_of_period,stock,PYG,1000000,PYG,not_applicable,nominal,,not_adjusted,level,component,,,break_documented,Observed in the retained vintage only: last period 2026-06-30 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'Cuadro Nº 21 a — Agregados Monetarios -Serie Histórica 1/ — En millones de guaranies'. Column label: 'M2'. Recorded index base: ''. Coverage 1962-01-01 to 2026-06-30 (774 periods). Unit and scale as parsed: PYG x 1e+06.,economic_annex/Cuadro 21 a!r35c5 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,medium,This series changes day convention inside its own history (see outputs/temporal_convention_worklist.csv). Same question as M0.
economic_annex:cuadro_21_a:e52ddb9da28a82ad233d2d43,M3 -- as published on Cuadro 21 a: Cuadro Nº 21 a — Agregados Monetarios -Serie Histórica 1/ — En millones de guaranies,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#Cuadro 21 a!r361c6,"Worksheet Cuadro 21 a, column path 'M3'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,end_of_period,stock,PYG,1000000,PYG,not_applicable,nominal,,not_adjusted,level,total,,,break_documented,Observed in the retained vintage only: last period 2026-06-30 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'Cuadro Nº 21 a — Agregados Monetarios -Serie Histórica 1/ — En millones de guaranies'. Column label: 'M3'. Recorded index base: ''. Coverage 1989-03-01 to 2026-06-30 (448 periods). Unit and scale as parsed: PYG x 1e+06.,economic_annex/Cuadro 21 a!r361c6 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,medium,This series changes day convention inside its own history (see outputs/temporal_convention_worklist.csv). Same question as M0.
economic_annex:cuadro_21_a:665d6155578fbede7a3d07c7,BM -- as published on Cuadro 21 a: Cuadro Nº 21 a — Agregados Monetarios -Serie Histórica 1/ — En millones de guaranies,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#Cuadro 21 a!r11c2,"Worksheet Cuadro 21 a, column path 'BM'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,end_of_period,stock,PYG,1000000,PYG,not_applicable,nominal,,not_adjusted,level,standalone,,,break_documented,Observed in the retained vintage only: last period 2026-06-30 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'Cuadro Nº 21 a — Agregados Monetarios -Serie Histórica 1/ — En millones de guaranies'. Column label: 'BM'. Recorded index base: ''. Coverage 1960-01-01 to 2026-06-30 (798 periods). Unit and scale as parsed: PYG x 1e+06.,economic_annex/Cuadro 21 a!r11c2 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,medium,This series changes day convention inside its own history (see outputs/temporal_convention_worklist.csv). Same question as M0.
exchange_rates:usd_prom:190c4a9509f6c233bdc28928,USD — VENTA -- as published on USD Prom: Estudios Económicos — COTIZACION DEL DOLAR AMERICANO — Promedio Mensual,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#USD Prom!r13c3,"Worksheet USD Prom, column path 'USD — USD — VENTA'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_average,flow,PYG_PER_USD,1,PYG/USD,market_value,nominal,,not_adjusted,level,standalone,,,comparable,Observed in the retained vintage only: last period 2026-07-31 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'Estudios Económicos — COTIZACION DEL DOLAR AMERICANO — Promedio Mensual'. Column label: 'USD — VENTA'. Recorded index base: ''. Coverage 1989-01-31 to 2026-07-31 (451 periods). Unit and scale as parsed: PYG_PER_USD x 1.,exchange_rates/USD Prom!r13c3 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
