source_id,source_sheet,table_title,series_on_sheet,unit_codes,scales,frequencies,index_bases,sheet_kind,observations,first_period,last_period,stated_stock_flow,stated_nominal_real,stated_seasonal,stated_valuation,sample_labels,stock_flow,nominal_real,price_base_year,seasonal_adjustment,timing_basis,valuation,comparability,total_label,methodology_regime_id,reviewer_note,decision_status,component_labels
insurance_annex,1.31,Comisión reaseguros aceptados - contratos proporcionales (Guaraníes) — Participación utilidades reaseguros aceptados - contratos proporcionales (Guaraníes) — Participación utilidades reaseguros aceptados - contratos no proporcionales (Guaraníes) — Total Gastos Reaseguros Aceptados - Local (Guaraníes),104,PYG,units,annual,,homogeneous,1768,2009-06-30,2025-06-30,0,0,0,0,Total Gastos Reaseguros Aceptados - Loca | Comisión reaseguros aceptados - contrato | Participación utilidades reaseguros acep,,,,,,,,,,,,
insurance_annex,1.28,Comisión de seguros directos (Guaraníes) — Revisión examen de asegurabilidad (Guaraníes) — Fomento de Producción (Guaraníes) — Total Gastos de Producción (Guaraníes),104,PYG,units,annual,,homogeneous,1768,2009-06-30,2025-06-30,0,0,0,0,Revisión examen de asegurabilidad (Guara | Comisión de seguros directos (Guaraníes) | Fomento de Producción (Guaraníes) — Tran | Fomento de Producción (Guaraníes) — Ries | Fomento de Producción (Guaraníes) — Fome | Fomento de Producción (Guaraníes) — Acci | Fomento de Producción (Guaraníes) — Resp |,,,,,,,,,,,,
insurance_annex,1.24,Comisión reaseguros cedidos - contratos proporcionales (Guaraníes) - exterior — Participación utilidades reaseguros cedidos - contratos proporcionales (Guaraníes) - exterior — Participación utilidades reaseguros cedidos - contratos no proporcionales (Guaraníes) - exterior — Total otros ingresos reaseguros cedidos - exterior (Guaraníes),95,PYG,units,annual,,homogeneous,1611,2009-06-30,2025-06-30,0,0,0,0,Total otros ingresos reaseguros cedidos  | Participación utilidades reaseguros cedi | Comisión reaseguros cedidos - contratos,,,,,,,,,,,,
insurance_annex,1.23,Comisión reaseguros cedidos - contratos proporcionales (Guaraníes) — Participación utilidades reaseguros cedidos - contratos proporcionales (Guaraníes) — Participación utilidades reaseguros cedidos - contratos no proporcionales (Guaraníes) — Total otros ingresos reaseguros cedidos - local (Guaraníes),95,PYG,units,annual,,homogeneous,1615,2009-06-30,2025-06-30,0,0,0,0,Total otros ingresos reaseguros cedidos  | Comisión reaseguros cedidos - contratos  | Participación utilidades reaseguros cedi,,,,,,,,,,,,
insurance_annex,1.22,Reintegro Gastos de Revisión y examen de asegurabilidad (Guaraníes) — Intereses por Financiamiento de Primas (Guaraníes) — Reintegro Comisiones sobre primas (Guaraníes) — Total Reintegro Gastos de Producción (Guaraníes),89,PYG,units,annual,,homogeneous,1513,2009-06-30,2025-06-30,0,0,0,0,Reintegro Gastos de Revisión y examen de | Intereses por Financiamiento de Primas ( | Reintegro Comisiones sobre primas (Guara | Total Reintegro Gastos de Producción (Gu,,,,,,,,,,,,
insurance_annex,1.2,Primas Reaseguros Aceptados (Local) Contratos Proporcionales (Guaraníes) — Primas Reaseguros Aceptados (Local) Contratos no Proporcionales (Guaraníes) — Total Primas Reaseguros Aceptados (Local) (Guaraníes),81,PYG,units,annual,,homogeneous,1377,2009-06-30,2025-06-30,0,0,0,0,Primas Reaseguros Aceptados (Local) Cont | Total Primas Reaseguros Aceptados (Local,,,,,,,,,,,,
insurance_annex,1.3,Primas Reaseguros Aceptados (Exterior) Contratos Proporcionales (Guaraníes) — Primas Reaseguros Aceptados (Exterior) Contratos no Proporcionales (Guaraníes) — Total Primas Reaseguros Aceptados (Exterior) (Guaraníes),81,PYG,units,annual,,homogeneous,1377,2009-06-30,2025-06-30,0,0,0,0,Total Primas Reaseguros Aceptados (Exter | Primas Reaseguros Aceptados (Exterior) C,,,,,,,,,,,,
insurance_annex,1.12,Participación Recupero reaseguros cedidos exterior - Proporcional — Participación Recupero reaseguros cedidos exterior - No Proporcional — Total Participación Recupero reaseguros cedidos exterior,78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Total Participación Recupero reaseguros  | Participación Recupero reaseguros cedido,,,,,,,,,,,,
insurance_annex,1.20,Participación Recupero Reaseguros Aceptados - Proporcionales (Guaraníes) - Exterior — Participación recupero reaseguros aceptados (contratos no proporcionales) (Guaraníes) - exterior — Total Participación recuperos reaseguros aceptados exterior,78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Total Participación recuperos reaseguros | Participación recupero reaseguros acepta | Participación Recupero Reaseguros Acepta,,,,,,,,,,,,
insurance_annex,1.17,Siniestros Recuperados Reaseguros cedidos (contratos proporcionales) (Guaraníes) - Local — Siniestros Recuperados Reaseguros cedidos (contratos no proporcionales) (Guaraníes) - Local — Total Siniestros recuperados Reaseguros cedidos Local (Guaraníes),78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Siniestros Recuperados Reaseguros cedido | Total Siniestros recuperados Reaseguros,,,,,,,,,,,,
insurance_annex,1.26,Intereses sobre reserva retenidas - contratos proporcionales (Guaraníes) - Exterior — Intereses sobre reserva retenidas - contratos proporcionales (Guaraníes) — Intereses sobre reservas matematicas cedidas - contratos proporcionales (Guaraníes) — Total otros ingresos reaseguros aceptados - exterior (Guaraníes),78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Intereses sobre reserva retenidas - cont | Total otros ingresos reaseguros aceptado | Intereses sobre reservas matematicas ced,,,,,,,,,,,,
insurance_annex,1.30,Gastos de cesión reaseguros cedidos - contratos no proporcionales (Guaraníes) — Intereses sobre reservas retenidas - contratos proporcionales (Guaraníes) — Total Gastos Reaseguros Cedidos - exterior (Guaraníes),78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Intereses sobre reservas retenidas - con | Total Gastos Reaseguros Cedidos - exteri | Gastos de cesión reaseguros cedidos - co,,,,,,,,,,,,
insurance_annex,1.11,Participación Recupero reaseguros cedidos local - Proporcional — Participación Recupero reaseguros cedidos local - No Proporcional — Total Participación Recupero reaseguros cedidos local,78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Participación Recupero reaseguros cedido | Total Participación Recupero reaseguros,,,,,,,,,,,,
insurance_annex,1.14,Siniestros Reaseguros Aceptados exterior (contratos proporcionales) (Guaraníes) — Siniestros Reaseguros Aceptados exterior (contratos no proporcionales) — Total Siniestros Reaseguros Aceptados exterior,78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Siniestros Reaseguros Aceptados exterior | Total Siniestros Reaseguros Aceptados ex,,,,,,,,,,,,
insurance_annex,1.19,Participación Recupero Reaseguros Aceptados - Proporcionales (Guaraníes) - Local — Participación recupero reaseguros aceptados (contratos no proporcionales) (Guaraníes) - Local — Total Participación Recupero reaseguros aceptados - Local (Guaraníes),78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Participación recupero reaseguros acepta | Total Participación Recupero reaseguros  | Participación Recupero Reaseguros Acepta,,,,,,,,,,,,
insurance_annex,1.29,Gastos de cesión reaseguros cedidos - contratos no proporcionales (Local) — Gastos de cesión reaseguros cedidos - contratos no proporcionales — Intereses sobre reservas retenidas - contratos proporcionales (Local) — Total Gastos Reaseguros Cedidos - local,78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Intereses sobre reservas retenidas - con | Gastos de cesión reaseguros cedidos - co | Total Gastos Reaseguros Cedidos - local,,,,,,,,,,,,
insurance_annex,1.18,Siniestros Recuperados Reaseguros cedidos exterior (contratos proporcionales) (Guaraníes) — Siniestros Recuperados Reaseguros cedidos exterior (contratos no proporcionales) (Guaraníes) — Total Siniestros recuperados Reaseguros cedidos exterior (Guaraníes),78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Siniestros Recuperados Reaseguros cedido | Total Siniestros recuperados Reaseguros,,,,,,,,,,,,
insurance_annex,1.25,Intereses sobre reservas retenidas - contratos proporcionales (Guaraníes) — Intereses sobre reservas matematicas cedidas - contratos proporcionales (Guaraníes) — Total otros ingresos reaseguros aceptados - local,78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Intereses sobre reservas matematicas ced | Intereses sobre reservas retenidas - con | Total otros ingresos reaseguros aceptado,,,,,,,,,,,,
insurance_annex,1.13,Siniestros Reaseguros Aceptados Local (contratos proporcionales) (Guaraníes) — Siniestros Reaseguros Aceptados Local (contratos no proporcionales) (Guaraníes) — Total Siniestros Reaseguros Aceptados Local (Guaraníes),78,PYG,units,annual,,homogeneous,1326,2009-06-30,2025-06-30,0,0,0,0,Siniestros Reaseguros Aceptados Local (c | Total Siniestros Reaseguros Aceptados Lo,,,,,,,,,,,,
economic_annex,Cuadro 51a,Cuadro Nº 51 a — Importaciones por tipo de bienes. — En miles de dólares FOB,64,USD,thousands,monthly,,homogeneous,25024,1994-01-01,2026-07-01,0,0,0,64,"Café | Otros bienes intermedios (d) | Substancias químicas (c) | Acumuladores, dinamos, motores y generad | Duraderos | Whisky | Trigo y sus derivados | Aparatos y maquinarias para la agricultu | Bienes de capital | Maquinas de escritorio (e) | Elementos de transporte y accesorios | Bienes de consum",,,,,,,,,,,,
economic_annex,Cuadro 51b,Cuadro Nº 51 b — En toneladas.,64,TONNES,units,monthly,,homogeneous,25024,1994-01-01,2026-07-01,0,0,0,0,"Sal | Otros combustibles, aceites y grasas | Ómnibus, camiones y camionetas | Cementos | Respuestos y accesorios para automóviles | Vidrios y sus manufacturas | Productos lácteos | Gas oíl | Hierro y sus manuf. Excl. Art. de ferret | Artefactos eléctricos | Piedras, tierras y sus manufacturas | Text",,,,,,,,,,,,
financial_indicators,2.1,Cuadro Nº 2.1 — Tasas de interés nominales desglosadas por plazos - Bancos — Promedio mensuales en porcentajes anuales,58,PERCENT,units,monthly,,homogeneous,8350,2011-01-31,2026-06-30,0,0,0,0,ME — Tasa Pasiva — CDA hasta 180 días | MN — Tasa Activa — Préstamos Varios <= 1 | ME — Tasa Activa — Sobregiros | MN — Activa — Préstamo Comercial <= 1 añ | ME — Activa — Préstamo Comercial <= 1 añ | MN — Tasa Pasiva — Otros Depósitos | MN — Tasa Activa — Préstamo Personal - v | MN — Tasa Pasiva —,,,,,,,,,,,,
financial_indicators,2.2,Cuadro Nº 2.2 — Tasas de interés efectivas desglosadas por plazos - Bancos — Promedio mensuales en porcentajes anuales,58,PERCENT,units,monthly,,homogeneous,8348,2011-01-31,2026-06-30,0,0,0,0,ME — Tasa Activa — Préstamo Personal - v | ME — Pasiva — Depósitos a la Vista | MN — Tasa Pasiva — CDA > 365 días | ME — Tasa Activa — Préstamo Personal - M | ME — Tasa Pasiva — CDA <= 365 días | ME — Tasa Activa — Sobregiros | ME — Tasa Pasiva — CDA hasta 180 días | MN — Tasa Activa — Préstamos Var,,,,,,,,,,,,
insurance_annex,1.10,"Gastos de liquidación de siniestros — Gastos de Salvataje y Recupero — Total Gastos de liquidación de siniestros, salvataje y recupero",58,PYG,units,annual,,homogeneous,986,2009-06-30,2025-06-30,0,0,0,0,Gastos de liquidación de siniestros — Cr | Gastos de liquidación de siniestros — Au | Total Gastos de liquidación de siniestro | Gastos de liquidación de siniestros — Ac | Gastos de liquidación de siniestros — Ga | Gastos de liquidación de siniestros — Ro | Gastos de Salvataje y Recupero — Acciden |,,,,,,,,,,,,
payments,SIPAP_08,Transferencias entre Clientes por Entidades Financieras en el SPI — Por Entidad Financiera,55,PYG,units,monthly,,homogeneous,2773,2022-05-31,2026-07-31,0,0,0,0,PYG — FAMIPYPAXXXX | PYG — FICSPYPAXXXX | PYG — FINLPYPAXXXX | PYG — BNFAPYPAXXXX | PYG — UBBRPYPXXXXX | PYG — RGSAPYPEXXXX | PYG — SOLAPYPAXXXX | PYG — BRASPYPXXXXX | PYG — ARAFPYPAXXXX | PYG — VISCPYPAXXXX | PYG — CRIFPYPEXXXX | PYG — FNXAPYPAXXXX | PYG — BCOPPYPAXXXX | PYG — BSUDPYPXXXXX | PYG —,,,,,,,,,,,,
financial_indicators,6,Cuadro Nº 6 — Tasas de interés efectivas desglosadas por plazos - Financieras — Promedios mensuales en porcentajes anuales,49,PERCENT,units,monthly,,homogeneous,5009,2011-01-31,2026-06-30,0,0,0,0,ME — Tasa Pasiva — Títulos Valores Emiti | ME — Tasa Activa — Préstamo Personal - c | MN — Tasa Activa — Préstamo Personal - c | MN — Tasa Activa — Préstamo Personal - M | MN — Tasa Pasiva — CDA <= 365 días | ME — Tasa Activa — Préstamos de Desarrol | ME — Tasa Pasiva — CDA > 365 días | MN — Tasa Ac,,,,,,,,,,,,
financial_indicators,1.2,Cuadro Nº 1.2 — Tasas de interés efectivas - Bancos — Promedio mensuales en porcentajes anuales Ponderación sobre saldos,37,PERCENT,units,monthly,,homogeneous,5888,2011-01-31,2026-06-30,37,0,0,0,ME — Tasa Pasiva — Títulos Valores | MN — Tasa Activa — Total | ME — Spread — Otros Depósitos | MN — Tasa Pasiva — Títulos Valores | MN — Tasa Pasiva — Depósitos a plazo | MN — Tasa Pasiva — CDA | ME — Tasa Activa — Comercial | MN — Tasa Pasiva (promedio ponderada) —  | ME — Tasa Pasiva — Otros Depó,,,,,,,,,,,,
financial_indicators,1.1,Cuadro Nº 1.1 — Tasas de interés nominales - Bancos — Promedio mensuales en porcentajes anuales Ponderación sobre saldos,37,PERCENT,units,monthly,,homogeneous,5889,2011-01-31,2026-06-30,37,0,0,0,MN — Tasa Activa — Desarrollo | MN — Tasa Activa — Sobregiros | MN — Spread sin TC ni sobregiros — Otros | ME — Tasa Activa — Vivienda | ME — Tasa Activa — Total | MN — Tasa Activa — Consumo | MN — Tasa Activa — Vivienda | MN — Tasa Activa — Comercial | ME — Tasa Pasiva — Depósitos a plazo | MN — Ta,,,,,,,,,,,,
economic_annex,CUADRO 42,Cuadro Nº 42 — Inversión directa: Conciliación entre el principio activo/pasivo y el principio direcccional ** — En millones de dólares.,30,USD,millions,annual,,homogeneous,510,2008-12-31,2024-12-31,0,0,0,0,Reinversión de utilidades (H) | Capital (A) | Deuda (N= -E-F+J+L) | Capital (G) | PRINCIPIO: ACTIVO / PASIVO (NETO) | Deuda (I= J+K+L) | Pasivo Empresa de Inversión en Inversion | Total Activos (A+B+C) | Activo Inversionista Directo en Empresa  | Deuda (C= D+E+F) | Empresa de Inversión en Inversioni,,,,,,,,,,,,
financial_indicators,5,Cuadro Nº 5 — Tasas de interés efectivas - Financieras — Promedio mensuales en porcentajes anuales - Ponderación sobre saldos,28,PERCENT,units,monthly,,homogeneous,4427,2011-01-31,2026-06-30,28,0,0,0,MN — Tasa Activa — Comercial | ME — Tasa Pasiva — Depósitos a plazo | ME — Tasa Pasiva — CDA | ME — Tasa Activa — Consumo | MN — Tasa Activa (promedio ponderada) —  | MN — Tasa Pasiva — Depósitos a la Vista | ME — Pasiva — Total | ME — Tasa Activa — Vivienda | MN — Spread sin TC ni sobregiros — CDA,,,,,,,,,,,,
insurance_annex,1.1,Primas Directas (Guaraníes),28,PYG,units,annual,,homogeneous,476,2009-06-30,2025-06-30,0,0,0,0,Primas Directas (Guaraníes) — Automóvile | Primas Directas (Guaraníes) — Transporte | Primas Directas (Guaraníes) — Riesgos Va | Primas Directas (Guaraníes) — Primas Sec | Primas Directas (Guaraníes) — Accidentes | Primas Directas (Guaraníes) — Riesgos Té | Primas Directas (Guaraníes) — Total Prim |,,,,,,,,,,,,
credit_survey,Índices,Situación General de Créditos - SGC,27,INDEX_POINTS,units,quarterly,,homogeneous,1236,2015-03-31,2026-06-30,0,0,0,0,AGRICULTURA — Confianza | CONSTRUCCIÓN — Situación | COMERCIO — Confianza | INDUSTRIA — Situación | PEQUEÑAS EMPRESAS — Expectativa | INDUSTRIA — Confianza | General — Expectativa | GANADERIA — Situación | COMERCIO — Expectativa | CONSUMO — Expectativa | General — Situación | VIVIENDA — Expectativa,,,,,,,,,,,,
insurance_annex,1.5,Primas Reaseguros Cedidos (Local) Contratos Proporcionales,26,PYG,units,annual,,homogeneous,442,2009-06-30,2025-06-30,0,0,0,0,Primas Reaseguros Cedidos (Local) Contra,,,,,,,,,,,,
insurance_annex,1.6,Primas Reaseguros Cedidos (Exterior) Contratos Proporcionales,26,PYG,units,annual,,homogeneous,442,2009-06-30,2025-06-30,0,0,0,0,Primas Reaseguros Cedidos (Exterior) Con,,,,,,,,,,,,
payments,SIPAP_14,Alias registrados por entidad,24,UNRESOLVED_SOURCE_UNITS,units,monthly,,homogeneous,854,2023-01-31,2026-07-31,0,0,0,0,BCOPPYPAXXXX | FNXAPYPAXXXX | BCNAPYPAXXXX | NACNPYPAXXXX | COMAPYPAXXXX | BGNBPYPXXXXX | BSUDPYPXXXXX | TUFIPYPAXXXX | BNITPYPAXXXX | BRASPYPXXXXX | FAMIPYPAXXXX | FIPJPYPAXXXX | BISAPYPEXXXX | FINLPYPAXXXX | FICSPYPAXXXX | IIFAPYPAXXXX | CITIUS33XASR | SOLAPYPAXXXX | VISCPYPAXXXX | UBBRPYPXXXXX |,,,,,,,,,,,,
payments,SIPAP_10,Transferencias entre Clientes de Entidades Financieras por SPI por franja horaria — SPI liquida sólo PYG — 00 a 02 hs — 02 a 04 hs — 04 a 06 hs — 06 a 08 hs,24,PYG,units,monthly,,homogeneous,1224,2022-05-31,2026-07-31,0,0,0,0,column_16 | column_3 | column_25 | column_9 | column_20 | column_7 | column_15 | column_5 | column_4 | column_19 | column_24 | column_12 | column_18 | column_23 | column_13 | column_21 | column_6 | column_10 | column_26 | column_11 | column_8 | column_14 | column_17 | column_22,,,,,,,,,,,,
payments,SIPAP_15,Alias operativos por entidad (*),24,UNRESOLVED_SOURCE_UNITS,units,monthly,,homogeneous,848,2023-01-31,2026-07-31,0,0,0,0,ZETAPYPAXXXX | AMAMPYPAXXXX | VISCPYPAXXXX | UBBRPYPXXXXX | TOTAL | FICSPYPAXXXX | IIFAPYPAXXXX | CITIUS33XASR | TUFIPYPAXXXX | BNFAPYPAXXXX | SOLAPYPAXXXX | BNITPYPAXXXX | BISAPYPEXXXX | FINLPYPAXXXX | FIPJPYPAXXXX | FNXAPYPAXXXX | BCOPPYPAXXXX | FAMIPYPAXXXX | BRASPYPXXXXX | BSUDPYPXXXXX | BGNBPYP,,,,,,,,,,,,
insurance_annex,1.8,Siniestros Seguros Directos,22,PYG,units,annual,,homogeneous,374,2009-06-30,2025-06-30,0,0,0,0,Siniestros Seguros Directos — Accidentes | Siniestros Seguros Directos — Total Rama | Siniestros Seguros Directos — Robo y Asa | Siniestros Seguros Directos — Siniestros | Siniestros Seguros Directos — Transporte | Siniestros Seguros Directos — Riesgos Té | Siniestros Seguros Directos — Automóvile |,,,,,,,,,,,,
economic_annex,CUADRO 17,Cuadro Nº 17 — Índice de precios del productor. — Base Marzo 2025= 100.,22,INDEX,units,monthly,Base Marzo 2025= 100,homogeneous,5911,1995-12-01,2026-06-01,0,0,0,0,Productos nacionales — Productos metálic | Productos nacionales — Otros productos m | Productos importados — Bienes transporta | Productos nacionales — Bienes transporta | Productos importados — Ganadería | Productos nacionales — Agricultura | Productos importados — Otros productos m | Productos imp,,,,,,,,,,,,
economic_annex,CUADRO 3,Cuadro Nº 3 — Evolución del producto interno bruto — Por rama de actividad económica. — Variación porcentual.,21,UNRESOLVED_SOURCE_UNITS,units,annual,,homogeneous,735,1992-12-31,2026-12-31,0,0,0,0,"Servicios a las empresas | Explotación foresal, pesca y minería | Telecomunicaciones | Restaurantes y hoteles | Valor agregado bruto | Servicios inmobiliarios | Ganadería | Sector Secundario | Comercio | Electricidad y agua | Agricultura | Servicios a los hogares | Servicios gubernamentales | Sector",,,,,,,,,,,,
economic_annex,CUADRO 4a,Cuadro Nº 4a — Producto interno bruto a precios de comprador — Por sectores económicos. — Estructura económica en base al valor corriente (%),21,PERCENT,units,annual,,homogeneous,736,1991-12-31,2026-12-31,0,0,0,0,Sector Servicios | Impuestos a los productos | Construcción | Transporte | Intermediación financiera | Servicios gubernamentales | Servicios a los hogares | Sector Primario | Manufactura | PIB a precios de comprador | Sector Secundario | Servicios a las empresas | Ganadería | Agricultura | Comercio,,,,,,,,,,,,
insurance_annex,1.21,Desafectación de Provisiones Técnicas de Siniestros (Guaraníes),21,PYG,units,annual,,homogeneous,357,2009-06-30,2025-06-30,0,0,0,0,Desafectación de Provisiones Técnicas de,,,,,,,,,,,,
economic_annex,CUADRO 1,Cuadro Nº 1 — Producto interno bruto a precios de comprador — Por sectores económicos — En millones de guaraníes constantes de 2014,21,PYG,millions,annual,,homogeneous,756,1991-12-31,2026-12-31,0,21,0,0,Sector Servicios | Impuestos a los productos | Construcción | Transporte | Intermediación financiera | Servicios a los hogares | Servicios gubernamentales | Sector Primario | Manufactura | PIB a precios de comprador | Sector Secundario | Servicios a las empresas | Ganadería | Comercio | Agricultura,,,,,,,,,,,,
economic_annex,CUADRO 4b,Cuadro Nº 4b — Producto interno bruto a precios de comprador — Por sectores económicos. — Estructura económica en base al valor constante (%),21,PERCENT,units,annual,,homogeneous,756,1991-12-31,2026-12-31,0,0,0,0,"Ganadería | Sector Secundario | Servicios a las empresas | Comercio | Agricultura | Electricidad y agua | Explotación foresal, pesca y minería | Telecomunicaciones | PIB a precios de comprador | Manufactura | Servicios inmobiliarios | Restaurantes y hoteles | Valor agregado bruto | Construcción | In",,,,,,,,,,,,
economic_annex,CUADRO 2,Cuadro Nº 2 — Producto interno bruto a precios de comprador — Por sectores económicos. — En millones de guaraníes corrientes.,21,PYG,millions,annual,,homogeneous,736,1991-12-31,2026-12-31,0,0,0,0,Manufactura | PIB a precios de comprador | Construcción | Impuestos a los productos | Transporte | Intermediación financiera | Sector Primario | Servicios gubernamentales | Servicios a los hogares | Ganadería | Sector Servicios | Agricultura | Comercio | Electricidad y agua | Servicios a las empresa,,,,,,,,,,,,
insurance_annex,1.15,Constitución de Provisiones Técnicas de Siniestros (Guaraníes),21,PYG,units,annual,,homogeneous,357,2009-06-30,2025-06-30,0,0,0,0,Constitución de Provisiones Técnicas de,,,,,,,,,,,,
