"source_key","sheet_name","coordinate","value"
"ine","INGRESOS_SECTOR","C38","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","INGRESOS_SECTOR","C39","1/ No considera los ingresos iguales a cero."
"ine","INGRESOS_SECTOR","C40","2/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","INGRESOS_SECTOR","C41","3/ El método de imputación elegido, fue sustituir el ingreso atípico por el valor de la mediana de la distribución."
"ine","INGRESOS_SECTOR","C43","Nota: ( ) estimación basada en menos a 30 casos muestrales, que pueden ser consideradas como insuficiencia muestral."
"ine","INGRESOS_OCUP","C41","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","INGRESOS_OCUP","C42","1/ No considera los ingresos iguales a cero."
"ine","INGRESOS_OCUP","C43","2/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","INGRESOS_OCUP","C44","3/ El método de imputación elegido, fue sustituir el ingreso atípico por el valor de la mediana de la distribución."
"ine","INGRESOS_OCUP","C45","Nota: ( ) estimación basada en menos a 30 casos muestrales, que pueden ser consideradas como insuficiencia muestral."
"ine","Población Total","C36","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","Población Total","C37","1/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","Población Total","C38","2/ Las cifras fueron recalculadas en función a la ocupación principal, dados los ajustes en el cuestionario  y no se investigaron horas en otras ocupaciones. "
"ine","Población Total","C39","3/Las cifras son comparables con los demás trimestres menos con el 2do trim 2020. "
"ine","Población Total","C41","Nota: ( ) estimación basada en menos a 30 casos muestrales, que pueden ser consideradas como insuficiencia muestral."
"ine","Población Total","C42","Nota: A partir del año 2019 se calculó la subocupación por Insuficiencia de tiempo de trabajo con una sola ocupación."
"ine","FORMALIDAD","B15","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","FORMALIDAD","B16","1/ Son ocupados formales los asalariados que cotizan al sistema de jubilación y pensión y los trabajadores independientes que están inscriptos en el Registro Único de Contribuyentes."
"ine","FORMALIDAD","B17","2/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","FORMALIDAD","B18","3/ No incluye ocupados en unidades económicas fuera del país."
"ine","FORMALIDAD","B19","Nota: ( ) estimación basada en menos a 30 casos muestrales, que pueden ser consideradas como insuficiencia muestral."
"ine","PROMEDIO DE HORAS","C39","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","PROMEDIO DE HORAS","C40","1/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","PROMEDIO DE HORAS","C41","2/ Incluye: Electricidad, Gas y Agua; Transporte, Almacenamiento y Comunicaciones y Finanzas, Seguros e Inmuebles."
"ine","PROMEDIO DE HORAS","C42","Nota: ( ) Estimación basada en menos a 30 casos muestrales, que pueden ser consideradas como insuficiencia muestral."
